SORTS 	 NUM ELEMENTS 	 TIME
INSERTION 	1000	31237806
INSERTION 	10000	161673334
INSERTION 	25000	469292062
INSERTION 	50000	1171165747
INSERTION 	75000	2755382742
INSERTION 	100000	4915786652
INSERTION 	125000	7577267439
INSERTION 	150000	10394513509
INSERTION 	175000	14079249067
INSERTION 	200000	18905195118
INSERTION 	225000	24352916464
INSERTION 	250000	29421518202
MERGE 	1000	40989137
MERGE 	10000	212472877
MERGE 	25000	825293652
MERGE 	50000	3059265769
MERGE 	75000	6889701297
MERGE 	100000	11283740004
MERGE 	125000	18162368034
MERGE 	150000	25877261240
MERGE 	175000	35566800988
MERGE 	200000	45721498145
MERGE 	225000	57435829027
MERGE 	250000	70764887553
HEAP 	1000	7855765
HEAP 	10000	4500418
HEAP 	25000	5756348
HEAP 	50000	10423785
HEAP 	75000	15498926
HEAP 	100000	30111335
HEAP 	125000	27726015
HEAP 	150000	25906302
HEAP 	175000	30572280
HEAP 	200000	60084823
HEAP 	225000	57032518
HEAP 	250000	69024028
BUBBLE 	1000	47742133
BUBBLE 	10000	118447664
BUBBLE 	25000	376948717
BUBBLE 	50000	1240077821
BUBBLE 	75000	2438832102
BUBBLE 	100000	4218659174
BUBBLE 	125000	7073208275
BUBBLE 	150000	10340098608
BUBBLE 	175000	13742129466
BUBBLE 	200000	18266693045
BUBBLE 	225000	23238042221
BUBBLE 	250000	26682982945
