SORTS 	 NUM ELEMENTS 	 TIME
INSERTION 	1000	22322305
INSERTION 	10000	150534791
INSERTION 	25000	308270033
INSERTION 	50000	1320659400
INSERTION 	75000	2585605301
INSERTION 	100000	4564695372
INSERTION 	125000	7076354665
INSERTION 	150000	9910265882
INSERTION 	175000	13522631911
INSERTION 	200000	18480402525
INSERTION 	225000	23767315905
INSERTION 	250000	29561046098
MERGE 	1000	37843111
MERGE 	10000	132249771
MERGE 	25000	718842604
MERGE 	50000	3229966924
MERGE 	75000	5893292587
MERGE 	100000	10959582669
MERGE 	125000	16751574107
MERGE 	150000	23892558867
MERGE 	175000	32034699273
MERGE 	200000	43981192405
MERGE 	225000	56960165780
MERGE 	250000	71701734380
HEAP 	1000	5503630
HEAP 	10000	2710243
HEAP 	25000	6660735
HEAP 	50000	11140002
HEAP 	75000	15475587
HEAP 	100000	17015962
HEAP 	125000	21486476
HEAP 	150000	25924535
HEAP 	175000	30825362
HEAP 	200000	47493792
HEAP 	225000	40016921
HEAP 	250000	44213567
BUBBLE 	1000	36660479
BUBBLE 	10000	68921920
BUBBLE 	25000	290420431
BUBBLE 	50000	1243717612
BUBBLE 	75000	2295770169
BUBBLE 	100000	4312361652
BUBBLE 	125000	7264891930
BUBBLE 	150000	9971953074
BUBBLE 	175000	13694238182
BUBBLE 	200000	17958150967
BUBBLE 	225000	22086930884
BUBBLE 	250000	27214472739
