SORTS 	 NUM ELEMENTS 	 TIME
INSERTION 	1000	34105952
INSERTION 	10000	228808361
INSERTION 	25000	529040293
INSERTION 	50000	2253313228
INSERTION 	75000	4536962428
INSERTION 	100000	8733022511
INSERTION 	125000	12790098789
INSERTION 	150000	20010405187
INSERTION 	175000	25296384642
INSERTION 	200000	33018840052
MERGE 	1000	34692345
MERGE 	10000	155504178
MERGE 	25000	847559068
MERGE 	50000	3129549739
MERGE 	75000	6389862847
MERGE 	100000	10272131034
MERGE 	125000	17634971684
MERGE 	150000	24998552252
MERGE 	175000	33945363013
MERGE 	200000	42275783954
HEAP 	1000	812490
HEAP 	10000	3039906
HEAP 	25000	5990833
HEAP 	50000	8205850
HEAP 	75000	24121961
HEAP 	100000	17012315
HEAP 	125000	41234925
HEAP 	150000	25548193
HEAP 	175000	30049340
HEAP 	200000	65546151
BUBBLE 	1000	28088134
BUBBLE 	10000	122860561
BUBBLE 	25000	374446701
BUBBLE 	50000	1184073314
BUBBLE 	75000	2489142620
BUBBLE 	100000	4909927102
BUBBLE 	125000	7040299906
BUBBLE 	150000	10048819739
BUBBLE 	175000	13720304574
BUBBLE 	200000	18369195059
