SORTS 	 NUM ELEMENTS 	 TIME
INSERTION 	1000	23848457
INSERTION 	10000	205390946
INSERTION 	25000	624912934
INSERTION 	50000	2393247368
INSERTION 	75000	4602749992
INSERTION 	100000	7691796703
INSERTION 	125000	12578888407
INSERTION 	150000	18016018584
INSERTION 	175000	23429593865
INSERTION 	200000	30804220714
MERGE 	1000	16424828
MERGE 	10000	174353710
MERGE 	25000	846987627
MERGE 	50000	3254856155
MERGE 	75000	5965867792
MERGE 	100000	12193649601
MERGE 	125000	18144363447
MERGE 	150000	26438291292
MERGE 	175000	35263938312
MERGE 	200000	46446575912
HEAP 	1000	343886
HEAP 	10000	3914025
HEAP 	25000	6043344
HEAP 	50000	8368129
HEAP 	75000	12491841
HEAP 	100000	28860874
HEAP 	125000	21197291
HEAP 	150000	25628056
HEAP 	175000	30178798
HEAP 	200000	34541735
BUBBLE 	1000	15756020
BUBBLE 	10000	83674362
BUBBLE 	25000	383915775
BUBBLE 	50000	1239945810
BUBBLE 	75000	2365950937
BUBBLE 	100000	4281609589
BUBBLE 	125000	6841302025
BUBBLE 	150000	9657328996
BUBBLE 	175000	13205948166
BUBBLE 	200000	16882765600
