SORTS 	 NUM ELEMENTS 	 TIME
INSERTION 	1000	727155
INSERTION 	10000	19311572
INSERTION 	25000	19084017
INSERTION 	50000	18700017
INSERTION 	75000	38498791
INSERTION 	100000	69195424
INSERTION 	125000	109716686
INSERTION 	150000	153908008
INSERTION 	175000	209288926
INSERTION 	200000	346326477
INSERTION 	225000	592415551
INSERTION 	250000	642490491
MERGE 	1000	15450060
MERGE 	10000	86589916
MERGE 	25000	479115962
MERGE 	50000	1831117100
MERGE 	75000	4241714104
MERGE 	100000	7320158706
MERGE 	125000	11672718156
MERGE 	150000	16293305351
MERGE 	175000	22626143338
MERGE 	200000	44581737954
MERGE 	225000	56355998672
MERGE 	250000	71519175185
HEAP 	1000	359567
HEAP 	10000	1629355
HEAP 	25000	4486196
HEAP 	50000	7642796
HEAP 	75000	10002954
HEAP 	100000	13328763
HEAP 	125000	16704532
HEAP 	150000	20474511
HEAP 	175000	60811249
HEAP 	200000	35471284
HEAP 	225000	39087736
HEAP 	250000	43479117
BUBBLE 	1000	11786929
BUBBLE 	10000	52355964
BUBBLE 	25000	200854791
BUBBLE 	50000	750022427
BUBBLE 	75000	1725837014
BUBBLE 	100000	3018878706
BUBBLE 	125000	4691529033
BUBBLE 	150000	6774062702
BUBBLE 	175000	14203434117
BUBBLE 	200000	17781093214
BUBBLE 	225000	23288012137
BUBBLE 	250000	28304099278
