SORTS 	 NUM ELEMENTS 	 TIME
INSERTION 	1000	1281822
INSERTION 	10000	28402116
INSERTION 	25000	31662285
INSERTION 	50000	23545050
INSERTION 	75000	86856126
INSERTION 	100000	143303345
INSERTION 	125000	228306937
INSERTION 	150000	258103559
INSERTION 	175000	330229488
INSERTION 	200000	413337515
INSERTION 	225000	460014441
INSERTION 	250000	707957508
MERGE 	1000	34065473
MERGE 	10000	148865323
MERGE 	25000	900786597
MERGE 	50000	3536445687
MERGE 	75000	6928940008
MERGE 	100000	12715157593
MERGE 	125000	19490538584
MERGE 	150000	28739092477
MERGE 	175000	41237037550
MERGE 	200000	50217168759
MERGE 	225000	61130003027
MERGE 	250000	75966965090
HEAP 	1000	419373
HEAP 	10000	2188032
HEAP 	25000	11305927
HEAP 	50000	15937627
HEAP 	75000	12391191
HEAP 	100000	16952509
HEAP 	125000	31391698
HEAP 	150000	26157195
HEAP 	175000	30271061
HEAP 	200000	68078069
HEAP 	225000	39123110
HEAP 	250000	43909795
BUBBLE 	1000	20437680
BUBBLE 	10000	76979348
BUBBLE 	25000	322604196
BUBBLE 	50000	1801412010
BUBBLE 	75000	3669389794
BUBBLE 	100000	6760670851
BUBBLE 	125000	10954021056
BUBBLE 	150000	15784497428
BUBBLE 	175000	20479498868
BUBBLE 	200000	18309300231
BUBBLE 	225000	23495268745
BUBBLE 	250000	28880099118
